framework,measurer,prompt_size,output_size,iterations,average,max,min,std,gpu_usage
baseline,throughput,17,128,10.0,1.0577912462574013,1.0661431193420574,1.0551760449997725,8.65472062392992e-06,4.7452473640441895
baseline,throughput,17,512,10.0,0.9516666204247197,0.9524369485398568,0.9504942737289307,4.386531019053527e-07,4.868458271026611
baseline,throughput,17,none,10.0,1.054992989127815,1.0569412919713166,1.0484280008124642,5.52369008263992e-06,4.7452473640441895
baseline,throughput,191,128,10.0,2.5128685730546043,2.518466984561603,2.498421807381979,2.8702466751849163e-05,4.795303821563721
baseline,throughput,191,512,10.0,2.4970061294264454,2.5017235485442577,2.484666625812809,2.1355307407402642e-05,4.795303821563721
baseline,throughput,191,none,10.0,2.521221988441856,2.525705004963514,2.505977979180197,2.9251061575438353e-05,4.795303821563721
baseline,throughput,660,128,10.0,6.53278478822846,6.547048155448809,6.496612233008299,0.0001844047207316272,5.026683807373047
baseline,throughput,660,512,10.0,6.484125891802779,6.497634288356222,6.458867760037109,9.101005579809578e-05,5.026683807373047
baseline,throughput,660,none,10.0,6.534933469687914,6.547276109696571,6.498667940571759,0.00018902526944957065,5.026683807373047
baseline,tpot,17,128,10.0,0.9440495421115637,0.947505804653058,0.9225910265782276,5.1599078893040896e-05,4.7452473640441895
baseline,tpot,17,512,10.0,1.0595600511538605,1.061738202568737,1.0585985655047114,9.350633045098116e-07,4.868458271026611
baseline,tpot,191,128,10.0,0.3970777312889205,0.400130184181819,0.39643904644602074,1.1388096260588821e-06,4.795303821563721
baseline,tpot,191,512,10.0,0.7666648503311135,0.7673176065054379,0.7660795288220124,1.9990383017453226e-07,4.890617370605469
baseline,tpot,660,128,10.0,0.15299695874923874,0.1539249241000008,0.15273239728152002,1.0345157724650862e-07,5.026683807373047
baseline,tpot,660,512,10.0,0.43443015954930964,0.4349597858205529,0.4340040908734654,6.64808999353514e-08,5.029706954956055
baseline,ttft,17,none,10.0,1.1135369218999585,1.869938875999651,1.024554855000133,0.06358212989666465,4.712951183319092
baseline,ttft,191,none,10.0,1.2160163711000678,1.8190113450000354,1.1392994489997363,0.04042240210907628,4.750290870666504
baseline,ttft,660,none,10.0,1.6957019597000909,2.2494211890007136,1.6200116110003364,0.03409376416472739,4.88194465637207
exllama,throughput,17,128,10.0,51.448585719872746,51.72810751981667,51.22347969567201,0.03265549963883087,8.774086475372314
exllama,throughput,17,512,10.0,48.326727811434615,48.51981922267308,48.04302534721548,0.016243493804926686,8.774086475372314
exllama,throughput,17,none,10.0,50.90506012462221,51.291798860980634,50.636326119574235,0.03356542493874442,8.774086475372314
exllama,throughput,191,128,10.0,44.36490291040895,44.690470543537394,44.19975939545742,0.025686088035159926,8.774086475372314
exllama,throughput,191,512,10.0,44.24306651877705,44.46878148284345,44.04439598587101,0.01838272989664238,8.774086475372314
exllama,throughput,191,none,10.0,44.39470215885971,44.640131762522735,44.15623904864822,0.022894485062238477,8.774086475372314
exllama,throughput,660,128,10.0,33.12330857532802,33.346593866898104,32.87248832939697,0.02288950052749485,8.774086475372314
exllama,throughput,660,512,10.0,32.963036441568576,33.1132794658231,32.865986004887525,0.005221370310533563,8.774086475372314
exllama,throughput,660,none,10.0,33.15972178253603,33.49309345278184,32.8987850869807,0.04469551877050286,8.774086475372314
exllama,tpot,17,128,10.0,0.01942665267109476,0.019494523390633844,0.01935561372656025,3.1012507052703846e-09,8.774086475372314
exllama,tpot,17,512,10.0,0.020562155154102868,0.02067569095312649,0.020495686632813204,4.1974547846301e-09,8.774086475372314
exllama,tpot,191,128,10.0,0.022500854799218928,0.022655786945307455,0.02242164224219323,3.555937786294727e-09,8.774086475372314
exllama,tpot,191,512,10.0,0.022706620041797975,0.022858475138676226,0.022622628189452598,4.979679729873975e-09,8.774086475372314
exllama,tpot,660,128,10.0,0.030428271838282228,0.03071344525781683,0.030134012539065225,4.057101159500754e-08,8.774086475372314
exllama,tpot,660,512,10.0,0.027620336791991208,0.02773151355469139,0.02753376018358722,4.56946807378995e-09,8.774086475372314
exllama,ttft,17,none,10.0,0.08014781659985601,0.0935134659994219,0.07398236800054292,2.2616450830985135e-05,8.774086475372314
exllama,ttft,191,none,10.0,0.27778006990001813,0.30735908600036055,0.27066275800007134,9.985124776982562e-05,8.774086475372314
exllama,ttft,660,none,10.0,0.708942951499921,0.7185040630001822,0.7038334449998729,2.386781862389192e-05,8.774086475372314
together,throughput,17,128,10.0,81.13113649979063,95.03730068198229,63.623398030820866,75.73537212682773,none
together,throughput,17,512,10.0,100.53917633512667,118.1926636839694,47.98252510450295,336.91230133444236,none
together,throughput,17,none,10.0,86.10962220226337,108.36669570072334,71.302396862755,92.04669342087159,none
together,throughput,191,128,10.0,89.72558471492195,103.3233172887062,68.13168014326169,92.3962362363298,none
together,throughput,191,512,10.0,71.36171865294436,88.01596867830347,53.022756202577845,75.21361707846842,none
together,throughput,191,none,10.0,77.74115735681046,97.18391100191523,61.952490215271084,114.71207790635803,none
together,throughput,660,128,10.0,80.61504305662389,97.51306761840257,69.962872948556,81.68465669054142,none
together,throughput,660,512,10.0,63.11863922403044,80.53769049915545,17.823763382058164,273.50866881438026,none
together,throughput,660,none,10.0,72.47195679208687,83.08888470736878,53.701800597774046,57.00920227418726,none
together,tpot,17,128,10.0,0.01309852672092975,0.017365993418610205,0.010656674077526,4.906986313469461e-06,none
together,tpot,17,512,10.0,0.011069391591116319,0.02190703921411872,0.009609198981777306,1.3086515734516276e-05,none
together,tpot,191,128,10.0,0.012536804133333487,0.01352006479069943,0.011022233155045804,8.807837729994741e-07,none
together,tpot,191,512,10.0,0.01098490372326243,0.011675605955974359,0.010241532943402501,1.9862339902687372e-07,none
together,tpot,660,128,10.0,0.012717456458139088,0.016432382279064288,0.011151132969002513,2.1018782238680386e-06,none
together,tpot,660,512,10.0,0.010398695702136649,0.010951330402126085,0.009899934555162668,1.526231706634004e-07,none
together,ttft,17,none,10.0,1.369219304499984,3.5285990029997265,0.2983537059999435,1.7238037183643222,none
together,ttft,191,none,10.0,1.3197165790000327,3.425493895000727,0.2968307309993179,1.3901952052557436,none
together,ttft,660,none,10.0,1.4312593465000645,3.669090600000345,0.3122831219998261,1.7580817019507236,none
vllm,throughput,17,128,10.0,0.018788248232806382,0.018903106906236644,0.018708872804666044,2.9749964703115207e-09,11.40824031829834
vllm,throughput,17,512,10.0,0.0188027900138664,0.018923673828126653,0.01866948303124616,6.475439260945152e-09,11.40824031829834
vllm,throughput,17,none,10.0,0.018786938053125368,0.018870744484374313,0.01873537427344729,2.2172102359875866e-09,11.40824031829834
vllm,throughput,191,128,10.0,0.020619417903134263,0.02071629178129797,0.020494309171908753,4.782514437139764e-09,11.423590660095215
vllm,throughput,191,512,10.0,0.02062326696640184,0.020803964679657838,0.0204976647422086,7.017301442991348e-09,11.423590660095215
vllm,throughput,191,none,10.0,0.02058936518593555,0.020655979414058834,0.020461684257810475,2.9749025517654166e-09,11.423590660095215
vllm,throughput,660,128,10.0,0.024210331657019423,0.024411893679712193,0.023669225742139588,4.83480612567248e-08,11.466698169708252
vllm,throughput,660,512,10.0,0.02420704617499041,0.024442642382780377,0.023732332812471668,3.7319014628750204e-08,11.466698169708252
vllm,throughput,660,none,10.0,0.024155892080469244,0.02438064081250957,0.02362800486719152,5.2606010188572905e-08,11.466698169708252
vllm,tpot,17,128,10.0,0.018658635553126145,0.01873823921874873,0.018564252835943762,2.174373628494927e-09,11.40824031829834
vllm,tpot,17,512,10.0,0.018872130371484275,0.018973311613279975,0.018815051214843947,2.6434267976577294e-09,11.40824031829834
vllm,tpot,191,128,10.0,0.020431369340622042,0.020524433804666842,0.020282666164064267,4.620206311785152e-09,11.423590660095215
vllm,tpot,191,512,10.0,0.019470346622656363,0.01959965423828436,0.019378859031249362,4.4767259930785345e-09,11.423590660095215
vllm,tpot,660,128,10.0,0.02417150089999325,0.02433961835939158,0.023972643539053706,1.7577272949832317e-08,11.466698169708252
vllm,tpot,660,512,10.0,0.020552883416990398,0.020686656835934514,0.020463341222651366,5.622111537907808e-09,11.466698169708252
vllm,ttft,17,none,10.0,0.08220971339987955,0.09380999999939377,0.07738267300010193,1.7273697640169923e-05,11.40824031829834
vllm,ttft,191,none,10.0,0.23179984709986456,0.24106461699921056,0.21821697399991535,3.520749393167697e-05,11.423590660095215
vllm,ttft,660,none,10.0,0.5981715013001121,0.6088244960001248,0.579916970999875,8.851055334831342e-05,11.466698169708252
